,path,conversion,path_count,conversion_rate,path_list
315,Online Display>Instagram,18,339,0.05309734513274336,"['Online Display', 'Instagram']"
316,Online Display>Instagram>Facebook,6,106,0.05660377358490566,"['Online Display', 'Instagram', 'Facebook']"
317,Online Display>Instagram>Facebook>Instagram,2,20,0.1,"['Online Display', 'Instagram', 'Facebook', 'Instagram']"
318,Online Display>Instagram>Facebook>Instagram>Facebook>Instagram>Facebook,1,1,1.0,"['Online Display', 'Instagram', 'Facebook', 'Instagram', 'Facebook', 'Instagram', 'Facebook']"
319,Online Display>Instagram>Facebook>Instagram>Facebook>Instagram>Facebook>Instagram,1,3,0.3333333333333333,"['Online Display', 'Instagram', 'Facebook', 'Instagram', 'Facebook', 'Instagram', 'Facebook', 'Instagram']"
320,Online Display>Instagram>Facebook>Instagram>Online Display>Facebook,1,1,1.0,"['Online Display', 'Instagram', 'Facebook', 'Instagram', 'Online Display', 'Facebook']"
321,Online Display>Instagram>Facebook>Paid Search>Online Display,2,5,0.4,"['Online Display', 'Instagram', 'Facebook', 'Paid Search', 'Online Display']"
322,Online Display>Instagram>Facebook>Paid Search>Online Display>Paid Search,1,1,1.0,"['Online Display', 'Instagram', 'Facebook', 'Paid Search', 'Online Display', 'Paid Search']"
323,Online Display>Instagram>Online Display,5,68,0.07352941176470588,"['Online Display', 'Instagram', 'Online Display']"
324,Online Display>Instagram>Paid Search,1,22,0.045454545454545456,"['Online Display', 'Instagram', 'Paid Search']"
325,Online Display>Instagram>Paid Search>Online Display,1,5,0.2,"['Online Display', 'Instagram', 'Paid Search', 'Online Display']"
326,Online Display>Online Video,16,344,0.046511627906976744,"['Online Display', 'Online Video']"
327,Online Display>Online Video>Facebook,1,15,0.06666666666666667,"['Online Display', 'Online Video', 'Facebook']"
328,Online Display>Online Video>Facebook>Instagram,1,1,1.0,"['Online Display', 'Online Video', 'Facebook', 'Instagram']"
329,Online Display>Online Video>Facebook>Online Video,1,4,0.25,"['Online Display', 'Online Video', 'Facebook', 'Online Video']"
330,Online Display>Online Video>Facebook>Online Video>Paid Search>Online Display>Online Video>Online Display>Online Video,1,1,1.0,"['Online Display', 'Online Video', 'Facebook', 'Online Video', 'Paid Search', 'Online Display', 'Online Video', 'Online Display', 'Online Video']"
331,Online Display>Online Video>Instagram>Facebook,2,3,0.6666666666666666,"['Online Display', 'Online Video', 'Instagram', 'Facebook']"
332,Online Display>Online Video>Instagram>Online Video,1,3,0.3333333333333333,"['Online Display', 'Online Video', 'Instagram', 'Online Video']"
333,Online Display>Online Video>Online Display,5,62,0.08064516129032258,"['Online Display', 'Online Video', 'Online Display']"
334,Online Display>Online Video>Online Display>Online Video>Online Display>Online Video,1,4,0.25,"['Online Display', 'Online Video', 'Online Display', 'Online Video', 'Online Display', 'Online Video']"
335,Online Display>Online Video>Online Display>Paid Search,1,8,0.125,"['Online Display', 'Online Video', 'Online Display', 'Paid Search']"
336,Online Display>Online Video>Paid Search,1,17,0.058823529411764705,"['Online Display', 'Online Video', 'Paid Search']"
337,Online Display>Paid Search,92,1796,0.051224944320712694,"['Online Display', 'Paid Search']"
338,Online Display>Paid Search>Facebook,5,91,0.054945054945054944,"['Online Display', 'Paid Search', 'Facebook']"
339,Online Display>Paid Search>Facebook>Instagram,2,8,0.25,"['Online Display', 'Paid Search', 'Facebook', 'Instagram']"
340,Online Display>Paid Search>Facebook>Online Display,1,18,0.05555555555555555,"['Online Display', 'Paid Search', 'Facebook', 'Online Display']"
341,Online Display>Paid Search>Facebook>Online Display>Online Video>Facebook>Instagram>Facebook>Online Video>Facebook,1,1,1.0,"['Online Display', 'Paid Search', 'Facebook', 'Online Display', 'Online Video', 'Facebook', 'Instagram', 'Facebook', 'Online Video', 'Facebook']"
342,Online Display>Paid Search>Facebook>Online Display>Paid Search,1,3,0.3333333333333333,"['Online Display', 'Paid Search', 'Facebook', 'Online Display', 'Paid Search']"
343,Online Display>Paid Search>Facebook>Online Video,1,1,1.0,"['Online Display', 'Paid Search', 'Facebook', 'Online Video']"
344,Online Display>Paid Search>Instagram,2,35,0.05714285714285714,"['Online Display', 'Paid Search', 'Instagram']"
345,Online Display>Paid Search>Instagram>Facebook>Paid Search>Facebook,2,2,1.0,"['Online Display', 'Paid Search', 'Instagram', 'Facebook', 'Paid Search', 'Facebook']"
346,Online Display>Paid Search>Instagram>Facebook>Paid Search>Facebook>Paid Search>Online Display>Paid Search>Online Display,1,1,1.0,"['Online Display', 'Paid Search', 'Instagram', 'Facebook', 'Paid Search', 'Facebook', 'Paid Search', 'Online Display', 'Paid Search', 'Online Display']"
347,Online Display>Paid Search>Instagram>Facebook>Paid Search>Instagram>Facebook,1,1,1.0,"['Online Display', 'Paid Search', 'Instagram', 'Facebook', 'Paid Search', 'Instagram', 'Facebook']"
348,Online Display>Paid Search>Instagram>Online Display,1,7,0.14285714285714285,"['Online Display', 'Paid Search', 'Instagram', 'Online Display']"
349,Online Display>Paid Search>Instagram>Online Display>Instagram>Facebook>Instagram>Online Display,1,1,1.0,"['Online Display', 'Paid Search', 'Instagram', 'Online Display', 'Instagram', 'Facebook', 'Instagram', 'Online Display']"
350,Online Display>Paid Search>Online Display,29,676,0.042899408284023666,"['Online Display', 'Paid Search', 'Online Display']"
351,Online Display>Paid Search>Online Display>Facebook>Instagram,1,5,0.2,"['Online Display', 'Paid Search', 'Online Display', 'Facebook', 'Instagram']"
352,Online Display>Paid Search>Online Display>Instagram,1,10,0.1,"['Online Display', 'Paid Search', 'Online Display', 'Instagram']"
353,Online Display>Paid Search>Online Display>Instagram>Facebook>Instagram>Facebook>Paid Search,1,1,1.0,"['Online Display', 'Paid Search', 'Online Display', 'Instagram', 'Facebook', 'Instagram', 'Facebook', 'Paid Search']"
354,Online Display>Paid Search>Online Display>Instagram>Online Display,1,2,0.5,"['Online Display', 'Paid Search', 'Online Display', 'Instagram', 'Online Display']"
355,Online Display>Paid Search>Online Display>Online Video>Online Display>Paid Search,1,1,1.0,"['Online Display', 'Paid Search', 'Online Display', 'Online Video', 'Online Display', 'Paid Search']"
356,Online Display>Paid Search>Online Display>Online Video>Paid Search>Facebook>Instagram,1,1,1.0,"['Online Display', 'Paid Search', 'Online Display', 'Online Video', 'Paid Search', 'Facebook', 'Instagram']"
357,Online Display>Paid Search>Online Display>Online Video>Paid Search>Online Video,1,1,1.0,"['Online Display', 'Paid Search', 'Online Display', 'Online Video', 'Paid Search', 'Online Video']"
358,Online Display>Paid Search>Online Display>Paid Search,5,123,0.04065040650406504,"['Online Display', 'Paid Search', 'Online Display', 'Paid Search']"
359,Online Display>Paid Search>Online Display>Paid Search>Facebook>Paid Search,1,1,1.0,"['Online Display', 'Paid Search', 'Online Display', 'Paid Search', 'Facebook', 'Paid Search']"
360,Online Display>Paid Search>Online Display>Paid Search>Online Display,4,78,0.05128205128205128,"['Online Display', 'Paid Search', 'Online Display', 'Paid Search', 'Online Display']"
